pandas_ind,index,title,content,img_link
1,https://docs.oracle.com/en/solutions/migrate-to-atp/index.html,Migrate an on-premises Oracle Database deployment to an autonomous database,Availability domains,https://docs.oracle.com/en/solutions/migrate-to-atp/img/migrate-atp.png
1,https://docs.oracle.com/en/solutions/migrate-to-atp/index.html,Migrate an on-premises Oracle Database deployment to an autonomous database,Fault domains,https://docs.oracle.com/en/solutions/migrate-to-atp/img/migrate-atp.png
1,https://docs.oracle.com/en/solutions/migrate-to-atp/index.html,Migrate an on-premises Oracle Database deployment to an autonomous database,Virtual cloud network (VCN) and subnets,https://docs.oracle.com/en/solutions/migrate-to-atp/img/migrate-atp.png
1,https://docs.oracle.com/en/solutions/migrate-to-atp/index.html,Migrate an on-premises Oracle Database deployment to an autonomous database,Route tables,https://docs.oracle.com/en/solutions/migrate-to-atp/img/migrate-atp.png
1,https://docs.oracle.com/en/solutions/migrate-to-atp/index.html,Migrate an on-premises Oracle Database deployment to an autonomous database,Security lists,https://docs.oracle.com/en/solutions/migrate-to-atp/img/migrate-atp.png
1,https://docs.oracle.com/en/solutions/migrate-to-atp/index.html,Migrate an on-premises Oracle Database deployment to an autonomous database,Dynamic routing gateway (DRG),https://docs.oracle.com/en/solutions/migrate-to-atp/img/migrate-atp.png
1,https://docs.oracle.com/en/solutions/migrate-to-atp/index.html,Migrate an on-premises Oracle Database deployment to an autonomous database,Service gateway,https://docs.oracle.com/en/solutions/migrate-to-atp/img/migrate-atp.png
1,https://docs.oracle.com/en/solutions/migrate-to-atp/index.html,Migrate an on-premises Oracle Database deployment to an autonomous database,Block volume,https://docs.oracle.com/en/solutions/migrate-to-atp/img/migrate-atp.png
1,https://docs.oracle.com/en/solutions/migrate-to-atp/index.html,Migrate an on-premises Oracle Database deployment to an autonomous database,Object storage,https://docs.oracle.com/en/solutions/migrate-to-atp/img/migrate-atp.png
1,https://docs.oracle.com/en/solutions/migrate-to-atp/index.html,Migrate an on-premises Oracle Database deployment to an autonomous database,Database system,https://docs.oracle.com/en/solutions/migrate-to-atp/img/migrate-atp.png
1,https://docs.oracle.com/en/solutions/migrate-to-atp/index.html,Migrate an on-premises Oracle Database deployment to an autonomous database,Application server,https://docs.oracle.com/en/solutions/migrate-to-atp/img/migrate-atp.png
2,https://docs.oracle.com/en/solutions/migrate-to-vmdb/index.html,Migrate an on-premises Oracle Database deployment to a virtual machine DB system,On-premises deployment,https://docs.oracle.com/en/solutions/migrate-to-vmdb/img/migrate-vmdb.png
2,https://docs.oracle.com/en/solutions/migrate-to-vmdb/index.html,Migrate an on-premises Oracle Database deployment to a virtual machine DB system,Region,https://docs.oracle.com/en/solutions/migrate-to-vmdb/img/migrate-vmdb.png
2,https://docs.oracle.com/en/solutions/migrate-to-vmdb/index.html,Migrate an on-premises Oracle Database deployment to a virtual machine DB system,Availability domains,https://docs.oracle.com/en/solutions/migrate-to-vmdb/img/migrate-vmdb.png
2,https://docs.oracle.com/en/solutions/migrate-to-vmdb/index.html,Migrate an on-premises Oracle Database deployment to a virtual machine DB system,Fault domains,https://docs.oracle.com/en/solutions/migrate-to-vmdb/img/migrate-vmdb.png
2,https://docs.oracle.com/en/solutions/migrate-to-vmdb/index.html,Migrate an on-premises Oracle Database deployment to a virtual machine DB system,Virtual cloud network (VCN) and subnets,https://docs.oracle.com/en/solutions/migrate-to-vmdb/img/migrate-vmdb.png
2,https://docs.oracle.com/en/solutions/migrate-to-vmdb/index.html,Migrate an on-premises Oracle Database deployment to a virtual machine DB system,Route tables,https://docs.oracle.com/en/solutions/migrate-to-vmdb/img/migrate-vmdb.png
2,https://docs.oracle.com/en/solutions/migrate-to-vmdb/index.html,Migrate an on-premises Oracle Database deployment to a virtual machine DB system,Security lists,https://docs.oracle.com/en/solutions/migrate-to-vmdb/img/migrate-vmdb.png
2,https://docs.oracle.com/en/solutions/migrate-to-vmdb/index.html,Migrate an on-premises Oracle Database deployment to a virtual machine DB system,Dynamic routing gateway (DRG),https://docs.oracle.com/en/solutions/migrate-to-vmdb/img/migrate-vmdb.png
2,https://docs.oracle.com/en/solutions/migrate-to-vmdb/index.html,Migrate an on-premises Oracle Database deployment to a virtual machine DB system,Service gateway,https://docs.oracle.com/en/solutions/migrate-to-vmdb/img/migrate-vmdb.png
2,https://docs.oracle.com/en/solutions/migrate-to-vmdb/index.html,Migrate an on-premises Oracle Database deployment to a virtual machine DB system,NAT gateway,https://docs.oracle.com/en/solutions/migrate-to-vmdb/img/migrate-vmdb.png
2,https://docs.oracle.com/en/solutions/migrate-to-vmdb/index.html,Migrate an on-premises Oracle Database deployment to a virtual machine DB system,Block volume,https://docs.oracle.com/en/solutions/migrate-to-vmdb/img/migrate-vmdb.png
2,https://docs.oracle.com/en/solutions/migrate-to-vmdb/index.html,Migrate an on-premises Oracle Database deployment to a virtual machine DB system,Object storage,https://docs.oracle.com/en/solutions/migrate-to-vmdb/img/migrate-vmdb.png
2,https://docs.oracle.com/en/solutions/migrate-to-vmdb/index.html,Migrate an on-premises Oracle Database deployment to a virtual machine DB system,Database system,https://docs.oracle.com/en/solutions/migrate-to-vmdb/img/migrate-vmdb.png
2,https://docs.oracle.com/en/solutions/migrate-to-vmdb/index.html,Migrate an on-premises Oracle Database deployment to a virtual machine DB system,Application server,https://docs.oracle.com/en/solutions/migrate-to-vmdb/img/migrate-vmdb.png
3,https://docs.oracle.com/en/solutions/migrate-exadata/index.html,Migrate an on-premises Oracle Database deployment to an Exadata DB system,On-premises deployment,https://docs.oracle.com/en/solutions/migrate-exadata/img/migrate-exadata.png
3,https://docs.oracle.com/en/solutions/migrate-exadata/index.html,Migrate an on-premises Oracle Database deployment to an Exadata DB system,Region,https://docs.oracle.com/en/solutions/migrate-exadata/img/migrate-exadata.png
3,https://docs.oracle.com/en/solutions/migrate-exadata/index.html,Migrate an on-premises Oracle Database deployment to an Exadata DB system,Availability domains,https://docs.oracle.com/en/solutions/migrate-exadata/img/migrate-exadata.png
3,https://docs.oracle.com/en/solutions/migrate-exadata/index.html,Migrate an on-premises Oracle Database deployment to an Exadata DB system,Fault domains,https://docs.oracle.com/en/solutions/migrate-exadata/img/migrate-exadata.png
3,https://docs.oracle.com/en/solutions/migrate-exadata/index.html,Migrate an on-premises Oracle Database deployment to an Exadata DB system,Virtual cloud network (VCN) and subnets,https://docs.oracle.com/en/solutions/migrate-exadata/img/migrate-exadata.png
3,https://docs.oracle.com/en/solutions/migrate-exadata/index.html,Migrate an on-premises Oracle Database deployment to an Exadata DB system,Route tables,https://docs.oracle.com/en/solutions/migrate-exadata/img/migrate-exadata.png
3,https://docs.oracle.com/en/solutions/migrate-exadata/index.html,Migrate an on-premises Oracle Database deployment to an Exadata DB system,Security lists,https://docs.oracle.com/en/solutions/migrate-exadata/img/migrate-exadata.png
3,https://docs.oracle.com/en/solutions/migrate-exadata/index.html,Migrate an on-premises Oracle Database deployment to an Exadata DB system,Dynamic routing gateway (DRG),https://docs.oracle.com/en/solutions/migrate-exadata/img/migrate-exadata.png
3,https://docs.oracle.com/en/solutions/migrate-exadata/index.html,Migrate an on-premises Oracle Database deployment to an Exadata DB system,Service gateway,https://docs.oracle.com/en/solutions/migrate-exadata/img/migrate-exadata.png
3,https://docs.oracle.com/en/solutions/migrate-exadata/index.html,Migrate an on-premises Oracle Database deployment to an Exadata DB system,Block volume,https://docs.oracle.com/en/solutions/migrate-exadata/img/migrate-exadata.png
3,https://docs.oracle.com/en/solutions/migrate-exadata/index.html,Migrate an on-premises Oracle Database deployment to an Exadata DB system,Object storage,https://docs.oracle.com/en/solutions/migrate-exadata/img/migrate-exadata.png
3,https://docs.oracle.com/en/solutions/migrate-exadata/index.html,Migrate an on-premises Oracle Database deployment to an Exadata DB system,Database system,https://docs.oracle.com/en/solutions/migrate-exadata/img/migrate-exadata.png
3,https://docs.oracle.com/en/solutions/migrate-exadata/index.html,Migrate an on-premises Oracle Database deployment to an Exadata DB system,Application server,https://docs.oracle.com/en/solutions/migrate-exadata/img/migrate-exadata.png
4,https://docs.oracle.com/en/solutions/private-dns/index.html,Use private DNS in your VCN,Region,https://docs.oracle.com/en/solutions/private-dns/img/architecture-deploy-private-dns.png
4,https://docs.oracle.com/en/solutions/private-dns/index.html,Use private DNS in your VCN,Availability domains,https://docs.oracle.com/en/solutions/private-dns/img/architecture-deploy-private-dns.png
4,https://docs.oracle.com/en/solutions/private-dns/index.html,Use private DNS in your VCN,Virtual cloud network (VCN) and subnets,https://docs.oracle.com/en/solutions/private-dns/img/architecture-deploy-private-dns.png
4,https://docs.oracle.com/en/solutions/private-dns/index.html,Use private DNS in your VCN,Private DNS Resolver,https://docs.oracle.com/en/solutions/private-dns/img/architecture-deploy-private-dns.png
5,https://docs.oracle.com/en/solutions/jenkins-master-agent-mode/index.html,Deploy Jenkins in master/agent mode,Jenkins master instance,https://docs.oracle.com/en/solutions/jenkins-master-agent-mode/img/jenkins-oci.png
5,https://docs.oracle.com/en/solutions/jenkins-master-agent-mode/index.html,Deploy Jenkins in master/agent mode,Jenkins agent instances,https://docs.oracle.com/en/solutions/jenkins-master-agent-mode/img/jenkins-oci.png
5,https://docs.oracle.com/en/solutions/jenkins-master-agent-mode/index.html,Deploy Jenkins in master/agent mode,Region,https://docs.oracle.com/en/solutions/jenkins-master-agent-mode/img/jenkins-oci.png
5,https://docs.oracle.com/en/solutions/jenkins-master-agent-mode/index.html,Deploy Jenkins in master/agent mode,Load balancer,https://docs.oracle.com/en/solutions/jenkins-master-agent-mode/img/jenkins-oci.png
5,https://docs.oracle.com/en/solutions/jenkins-master-agent-mode/index.html,Deploy Jenkins in master/agent mode,NAT gateway,https://docs.oracle.com/en/solutions/jenkins-master-agent-mode/img/jenkins-oci.png
5,https://docs.oracle.com/en/solutions/jenkins-master-agent-mode/index.html,Deploy Jenkins in master/agent mode,Virtual cloud network (VCN) and subnets,https://docs.oracle.com/en/solutions/jenkins-master-agent-mode/img/jenkins-oci.png
5,https://docs.oracle.com/en/solutions/jenkins-master-agent-mode/index.html,Deploy Jenkins in master/agent mode,Security lists,https://docs.oracle.com/en/solutions/jenkins-master-agent-mode/img/jenkins-oci.png
5,https://docs.oracle.com/en/solutions/jenkins-master-agent-mode/index.html,Deploy Jenkins in master/agent mode,Availability domains,https://docs.oracle.com/en/solutions/jenkins-master-agent-mode/img/jenkins-oci.png
5,https://docs.oracle.com/en/solutions/jenkins-master-agent-mode/index.html,Deploy Jenkins in master/agent mode,Fault domains,https://docs.oracle.com/en/solutions/jenkins-master-agent-mode/img/jenkins-oci.png
6,https://docs.oracle.com/en/solutions/autonomous-db-private-endpoint/index.html,Deploy an autonomous database with a private endpoint,"Autonomous database, with a private endpoint",https://docs.oracle.com/en/solutions/autonomous-db-private-endpoint/img/autonomous-db-private-endpoint.png
6,https://docs.oracle.com/en/solutions/autonomous-db-private-endpoint/index.html,Deploy an autonomous database with a private endpoint,Region,https://docs.oracle.com/en/solutions/autonomous-db-private-endpoint/img/autonomous-db-private-endpoint.png
6,https://docs.oracle.com/en/solutions/autonomous-db-private-endpoint/index.html,Deploy an autonomous database with a private endpoint,Availability domains,https://docs.oracle.com/en/solutions/autonomous-db-private-endpoint/img/autonomous-db-private-endpoint.png
6,https://docs.oracle.com/en/solutions/autonomous-db-private-endpoint/index.html,Deploy an autonomous database with a private endpoint,Virtual cloud network (VCN) and subnets,https://docs.oracle.com/en/solutions/autonomous-db-private-endpoint/img/autonomous-db-private-endpoint.png
7,https://docs.oracle.com/en/solutions/hub-spoke-network/index.html,Set up a hub-and-spoke network topology,On-premises network,https://docs.oracle.com/en/solutions/hub-spoke-network/img/hub-spoke-oci-png.png
7,https://docs.oracle.com/en/solutions/hub-spoke-network/index.html,Set up a hub-and-spoke network topology,Region,https://docs.oracle.com/en/solutions/hub-spoke-network/img/hub-spoke-oci-png.png
7,https://docs.oracle.com/en/solutions/hub-spoke-network/index.html,Set up a hub-and-spoke network topology,Virtual cloud network (VCN),https://docs.oracle.com/en/solutions/hub-spoke-network/img/hub-spoke-oci-png.png
7,https://docs.oracle.com/en/solutions/hub-spoke-network/index.html,Set up a hub-and-spoke network topology,Security list,https://docs.oracle.com/en/solutions/hub-spoke-network/img/hub-spoke-oci-png.png
7,https://docs.oracle.com/en/solutions/hub-spoke-network/index.html,Set up a hub-and-spoke network topology,Route table,https://docs.oracle.com/en/solutions/hub-spoke-network/img/hub-spoke-oci-png.png
7,https://docs.oracle.com/en/solutions/hub-spoke-network/index.html,Set up a hub-and-spoke network topology,Dynamic routing gateway (DRG),https://docs.oracle.com/en/solutions/hub-spoke-network/img/hub-spoke-oci-png.png
7,https://docs.oracle.com/en/solutions/hub-spoke-network/index.html,Set up a hub-and-spoke network topology,Bastion host,https://docs.oracle.com/en/solutions/hub-spoke-network/img/hub-spoke-oci-png.png
7,https://docs.oracle.com/en/solutions/hub-spoke-network/index.html,Set up a hub-and-spoke network topology,Local peering gateway (LPG),https://docs.oracle.com/en/solutions/hub-spoke-network/img/hub-spoke-oci-png.png
7,https://docs.oracle.com/en/solutions/hub-spoke-network/index.html,Set up a hub-and-spoke network topology,VPN Connect,https://docs.oracle.com/en/solutions/hub-spoke-network/img/hub-spoke-oci-png.png
7,https://docs.oracle.com/en/solutions/hub-spoke-network/index.html,Set up a hub-and-spoke network topology,FastConnect,https://docs.oracle.com/en/solutions/hub-spoke-network/img/hub-spoke-oci-png.png
8,https://docs.oracle.com/en/solutions/deploy-microsoft-sql-on-oci/index.html,Deploy a highly available Microsoft SQL Server database,Region,https://docs.oracle.com/en/solutions/deploy-microsoft-sql-on-oci/img/microsoft-sql-server-oci.png
8,https://docs.oracle.com/en/solutions/deploy-microsoft-sql-on-oci/index.html,Deploy a highly available Microsoft SQL Server database,Availability domain,https://docs.oracle.com/en/solutions/deploy-microsoft-sql-on-oci/img/microsoft-sql-server-oci.png
8,https://docs.oracle.com/en/solutions/deploy-microsoft-sql-on-oci/index.html,Deploy a highly available Microsoft SQL Server database,Fault domain,https://docs.oracle.com/en/solutions/deploy-microsoft-sql-on-oci/img/microsoft-sql-server-oci.png
8,https://docs.oracle.com/en/solutions/deploy-microsoft-sql-on-oci/index.html,Deploy a highly available Microsoft SQL Server database,Virtual cloud network (VCN) and subnets,https://docs.oracle.com/en/solutions/deploy-microsoft-sql-on-oci/img/microsoft-sql-server-oci.png
8,https://docs.oracle.com/en/solutions/deploy-microsoft-sql-on-oci/index.html,Deploy a highly available Microsoft SQL Server database,Route table,https://docs.oracle.com/en/solutions/deploy-microsoft-sql-on-oci/img/microsoft-sql-server-oci.png
8,https://docs.oracle.com/en/solutions/deploy-microsoft-sql-on-oci/index.html,Deploy a highly available Microsoft SQL Server database,Security lists,https://docs.oracle.com/en/solutions/deploy-microsoft-sql-on-oci/img/microsoft-sql-server-oci.png
8,https://docs.oracle.com/en/solutions/deploy-microsoft-sql-on-oci/index.html,Deploy a highly available Microsoft SQL Server database,Internet gateway,https://docs.oracle.com/en/solutions/deploy-microsoft-sql-on-oci/img/microsoft-sql-server-oci.png
8,https://docs.oracle.com/en/solutions/deploy-microsoft-sql-on-oci/index.html,Deploy a highly available Microsoft SQL Server database,Block volume,https://docs.oracle.com/en/solutions/deploy-microsoft-sql-on-oci/img/microsoft-sql-server-oci.png
8,https://docs.oracle.com/en/solutions/deploy-microsoft-sql-on-oci/index.html,Deploy a highly available Microsoft SQL Server database,Object storage,https://docs.oracle.com/en/solutions/deploy-microsoft-sql-on-oci/img/microsoft-sql-server-oci.png
9,https://docs.oracle.com/en/solutions/deploy-tomcat-mysql/index.html,Deploy Apache Tomcat connected to MySQL Database Service,Region,https://docs.oracle.com/en/solutions/deploy-tomcat-mysql/img/architecture-deploy-tomcat-mds.png
9,https://docs.oracle.com/en/solutions/deploy-tomcat-mysql/index.html,Deploy Apache Tomcat connected to MySQL Database Service,Availability domains,https://docs.oracle.com/en/solutions/deploy-tomcat-mysql/img/architecture-deploy-tomcat-mds.png
9,https://docs.oracle.com/en/solutions/deploy-tomcat-mysql/index.html,Deploy Apache Tomcat connected to MySQL Database Service,Fault domains,https://docs.oracle.com/en/solutions/deploy-tomcat-mysql/img/architecture-deploy-tomcat-mds.png
9,https://docs.oracle.com/en/solutions/deploy-tomcat-mysql/index.html,Deploy Apache Tomcat connected to MySQL Database Service,Virtual cloud network (VCN) and subnets,https://docs.oracle.com/en/solutions/deploy-tomcat-mysql/img/architecture-deploy-tomcat-mds.png
9,https://docs.oracle.com/en/solutions/deploy-tomcat-mysql/index.html,Deploy Apache Tomcat connected to MySQL Database Service,Load balancer,https://docs.oracle.com/en/solutions/deploy-tomcat-mysql/img/architecture-deploy-tomcat-mds.png
9,https://docs.oracle.com/en/solutions/deploy-tomcat-mysql/index.html,Deploy Apache Tomcat connected to MySQL Database Service,Security list,https://docs.oracle.com/en/solutions/deploy-tomcat-mysql/img/architecture-deploy-tomcat-mds.png
9,https://docs.oracle.com/en/solutions/deploy-tomcat-mysql/index.html,Deploy Apache Tomcat connected to MySQL Database Service,Route table,https://docs.oracle.com/en/solutions/deploy-tomcat-mysql/img/architecture-deploy-tomcat-mds.png
9,https://docs.oracle.com/en/solutions/deploy-tomcat-mysql/index.html,Deploy Apache Tomcat connected to MySQL Database Service,Internet gateway,https://docs.oracle.com/en/solutions/deploy-tomcat-mysql/img/architecture-deploy-tomcat-mds.png
9,https://docs.oracle.com/en/solutions/deploy-tomcat-mysql/index.html,Deploy Apache Tomcat connected to MySQL Database Service,Tomcat servers,https://docs.oracle.com/en/solutions/deploy-tomcat-mysql/img/architecture-deploy-tomcat-mds.png
9,https://docs.oracle.com/en/solutions/deploy-tomcat-mysql/index.html,Deploy Apache Tomcat connected to MySQL Database Service,Database servers,https://docs.oracle.com/en/solutions/deploy-tomcat-mysql/img/architecture-deploy-tomcat-mds.png
9,https://docs.oracle.com/en/solutions/deploy-tomcat-mysql/index.html,Deploy Apache Tomcat connected to MySQL Database Service,Bastion host,https://docs.oracle.com/en/solutions/deploy-tomcat-mysql/img/architecture-deploy-tomcat-mds.png
10,https://docs.oracle.com/en/solutions/oci-security-zones/index.html,Protect your workloads in the cloud using security zones,Object storage,https://docs.oracle.com/en/solutions/oci-security-zones/img/msz-01.png
10,https://docs.oracle.com/en/solutions/oci-security-zones/index.html,Protect your workloads in the cloud using security zones,Database,https://docs.oracle.com/en/solutions/oci-security-zones/img/msz-01.png
10,https://docs.oracle.com/en/solutions/oci-security-zones/index.html,Protect your workloads in the cloud using security zones,Compartment,https://docs.oracle.com/en/solutions/oci-security-zones/img/msz-01.png
10,https://docs.oracle.com/en/solutions/oci-security-zones/index.html,Protect your workloads in the cloud using security zones,Virtual machines,https://docs.oracle.com/en/solutions/oci-security-zones/img/msz-01.png
10,https://docs.oracle.com/en/solutions/oci-security-zones/index.html,Protect your workloads in the cloud using security zones,Internet,https://docs.oracle.com/en/solutions/oci-security-zones/img/msz-01.png
10,https://docs.oracle.com/en/solutions/oci-security-zones/index.html,Protect your workloads in the cloud using security zones,Network,https://docs.oracle.com/en/solutions/oci-security-zones/img/msz-01.png
11,https://docs.oracle.com/en/solutions/deploy-shards-across-clouds/index.html,"Deploy linearly scalable sharded Oracle databases distributed across Oracle Cloud, Microsoft Azure, and Amazon Web Services",Internet gateway,https://docs.oracle.com/en/solutions/deploy-shards-across-clouds/img/sharded-db-oci-azure-aws.png
11,https://docs.oracle.com/en/solutions/deploy-shards-across-clouds/index.html,"Deploy linearly scalable sharded Oracle databases distributed across Oracle Cloud, Microsoft Azure, and Amazon Web Services",Shard directors,https://docs.oracle.com/en/solutions/deploy-shards-across-clouds/img/sharded-db-oci-azure-aws.png
11,https://docs.oracle.com/en/solutions/deploy-shards-across-clouds/index.html,"Deploy linearly scalable sharded Oracle databases distributed across Oracle Cloud, Microsoft Azure, and Amazon Web Services",Primary and standby shard catalogs,https://docs.oracle.com/en/solutions/deploy-shards-across-clouds/img/sharded-db-oci-azure-aws.png
11,https://docs.oracle.com/en/solutions/deploy-shards-across-clouds/index.html,"Deploy linearly scalable sharded Oracle databases distributed across Oracle Cloud, Microsoft Azure, and Amazon Web Services",Database shards,https://docs.oracle.com/en/solutions/deploy-shards-across-clouds/img/sharded-db-oci-azure-aws.png
12,https://docs.oracle.com/en/solutions/oci-pilot-light-dr/index.html,Design a pilot-light disaster recovery (DR) topology,Regions,https://docs.oracle.com/en/solutions/oci-pilot-light-dr/img/x-region-pilot-light-topology.png
12,https://docs.oracle.com/en/solutions/oci-pilot-light-dr/index.html,Design a pilot-light disaster recovery (DR) topology,Availability domains,https://docs.oracle.com/en/solutions/oci-pilot-light-dr/img/x-region-pilot-light-topology.png
12,https://docs.oracle.com/en/solutions/oci-pilot-light-dr/index.html,Design a pilot-light disaster recovery (DR) topology,Fault domains,https://docs.oracle.com/en/solutions/oci-pilot-light-dr/img/x-region-pilot-light-topology.png
12,https://docs.oracle.com/en/solutions/oci-pilot-light-dr/index.html,Design a pilot-light disaster recovery (DR) topology,Virtual cloud networks (VCN) and subnets,https://docs.oracle.com/en/solutions/oci-pilot-light-dr/img/x-region-pilot-light-topology.png
12,https://docs.oracle.com/en/solutions/oci-pilot-light-dr/index.html,Design a pilot-light disaster recovery (DR) topology,Bastion host,https://docs.oracle.com/en/solutions/oci-pilot-light-dr/img/x-region-pilot-light-topology.png
12,https://docs.oracle.com/en/solutions/oci-pilot-light-dr/index.html,Design a pilot-light disaster recovery (DR) topology,Load balancer,https://docs.oracle.com/en/solutions/oci-pilot-light-dr/img/x-region-pilot-light-topology.png
12,https://docs.oracle.com/en/solutions/oci-pilot-light-dr/index.html,Design a pilot-light disaster recovery (DR) topology,Internet gateway,https://docs.oracle.com/en/solutions/oci-pilot-light-dr/img/x-region-pilot-light-topology.png
12,https://docs.oracle.com/en/solutions/oci-pilot-light-dr/index.html,Design a pilot-light disaster recovery (DR) topology,Compute instances,https://docs.oracle.com/en/solutions/oci-pilot-light-dr/img/x-region-pilot-light-topology.png
12,https://docs.oracle.com/en/solutions/oci-pilot-light-dr/index.html,Design a pilot-light disaster recovery (DR) topology,Block volumes,https://docs.oracle.com/en/solutions/oci-pilot-light-dr/img/x-region-pilot-light-topology.png
12,https://docs.oracle.com/en/solutions/oci-pilot-light-dr/index.html,Design a pilot-light disaster recovery (DR) topology,File storage,https://docs.oracle.com/en/solutions/oci-pilot-light-dr/img/x-region-pilot-light-topology.png
12,https://docs.oracle.com/en/solutions/oci-pilot-light-dr/index.html,Design a pilot-light disaster recovery (DR) topology,Object storage,https://docs.oracle.com/en/solutions/oci-pilot-light-dr/img/x-region-pilot-light-topology.png
12,https://docs.oracle.com/en/solutions/oci-pilot-light-dr/index.html,Design a pilot-light disaster recovery (DR) topology,Database,https://docs.oracle.com/en/solutions/oci-pilot-light-dr/img/x-region-pilot-light-topology.png
12,https://docs.oracle.com/en/solutions/oci-pilot-light-dr/index.html,Design a pilot-light disaster recovery (DR) topology,Dynamic routing gateway (DRG),https://docs.oracle.com/en/solutions/oci-pilot-light-dr/img/x-region-pilot-light-topology.png
12,https://docs.oracle.com/en/solutions/oci-pilot-light-dr/index.html,Design a pilot-light disaster recovery (DR) topology,NAT gateway,https://docs.oracle.com/en/solutions/oci-pilot-light-dr/img/x-region-pilot-light-topology.png
12,https://docs.oracle.com/en/solutions/oci-pilot-light-dr/index.html,Design a pilot-light disaster recovery (DR) topology,Service gateway,https://docs.oracle.com/en/solutions/oci-pilot-light-dr/img/x-region-pilot-light-topology.png
13,https://docs.oracle.com/en/solutions/logs-stream-splunk/index.html,Implement a SIEM system in Splunk using logs streamed from Oracle Cloud,Region,https://docs.oracle.com/en/solutions/logs-stream-splunk/img/siem-logging-oci.png
13,https://docs.oracle.com/en/solutions/logs-stream-splunk/index.html,Implement a SIEM system in Splunk using logs streamed from Oracle Cloud,Availability domain,https://docs.oracle.com/en/solutions/logs-stream-splunk/img/siem-logging-oci.png
13,https://docs.oracle.com/en/solutions/logs-stream-splunk/index.html,Implement a SIEM system in Splunk using logs streamed from Oracle Cloud,Virtual cloud network (VCN) and subnets,https://docs.oracle.com/en/solutions/logs-stream-splunk/img/siem-logging-oci.png
13,https://docs.oracle.com/en/solutions/logs-stream-splunk/index.html,Implement a SIEM system in Splunk using logs streamed from Oracle Cloud,Load balancer,https://docs.oracle.com/en/solutions/logs-stream-splunk/img/siem-logging-oci.png
13,https://docs.oracle.com/en/solutions/logs-stream-splunk/index.html,Implement a SIEM system in Splunk using logs streamed from Oracle Cloud,Virtual machines (VMs),https://docs.oracle.com/en/solutions/logs-stream-splunk/img/siem-logging-oci.png
13,https://docs.oracle.com/en/solutions/logs-stream-splunk/index.html,Implement a SIEM system in Splunk using logs streamed from Oracle Cloud,Logging,https://docs.oracle.com/en/solutions/logs-stream-splunk/img/siem-logging-oci.png
13,https://docs.oracle.com/en/solutions/logs-stream-splunk/index.html,Implement a SIEM system in Splunk using logs streamed from Oracle Cloud,Audit logs,https://docs.oracle.com/en/solutions/logs-stream-splunk/img/siem-logging-oci.png
13,https://docs.oracle.com/en/solutions/logs-stream-splunk/index.html,Implement a SIEM system in Splunk using logs streamed from Oracle Cloud,Service logs,https://docs.oracle.com/en/solutions/logs-stream-splunk/img/siem-logging-oci.png
13,https://docs.oracle.com/en/solutions/logs-stream-splunk/index.html,Implement a SIEM system in Splunk using logs streamed from Oracle Cloud,Custom logs,https://docs.oracle.com/en/solutions/logs-stream-splunk/img/siem-logging-oci.png
13,https://docs.oracle.com/en/solutions/logs-stream-splunk/index.html,Implement a SIEM system in Splunk using logs streamed from Oracle Cloud,Streaming,https://docs.oracle.com/en/solutions/logs-stream-splunk/img/siem-logging-oci.png
